종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"494300","KODEX 미국나스닥100데일리커버드콜OTM","10835","75","0.70","10850.00","10900","10915","10830","1678342","18258311525","884136000000","0","81600000","NASDAQ-100 Daily Covered Call 101 Index(TR)","340.18","0.00","0.00"
"409820","KODEX 미국나스닥100레버리지(합성 H)","20270","885","4.57","20336.82","20500","20570","20190","481835","9823317012","259456000000","0","12800000","NASDAQ 100","29446.18","0.00","0.00"
"304940","KODEX 미국나스닥100선물(H)","32495","735","2.31","32553.95","32590","32730","32455","39142","1274147135","115357250000","0","3550000","NASDAQ 100","29446.18","0.00","0.00"
"409810","KODEX 미국나스닥100선물인버스(H)","5560","-115","-2.03","5543.80","5520","5560","5505","99449","549901329","11954000000","0","2150000","NASDAQ 100","29446.18","0.00","0.00"
"411420","KODEX 미국나스닥AI테크액티브","29355","300","1.03","29288.64","29435","29580","29205","19304","568030262","148242750000","0","5050000","Nasdaq CB Insights Metaverse US Index (Price Return)","1916.94","0.00","0.00"
"455030","KODEX 미국달러SOFR금리액티브(합성)","13095","-35","-0.27","13062.77","13025","13110","13025","207969","2715955479","689451750000","0","52650000","Bloomberg SOFR Daily Total Return Index","124.67","0.00","0.00"
"261240","KODEX 미국달러선물","15575","-120","-0.76","15613.21","15560","15620","15550","77272","1204355127","63857500000","0","4100000","미국달러선물지수","1702.09","-11.20","-0.65"
"261250","KODEX 미국달러선물레버리지","19175","-230","-1.19","19219.78","19135","19230","19105","42444","814019571","32405750000","0","1690000","미국달러선물지수","1702.09","-11.20","-0.65"
"261270","KODEX 미국달러선물인버스","7345","35","0.48","7352.71","7350","7365","7335","34606","254222984","122661500000","0","16700000","미국달러선물지수","1702.09","-11.20","-0.65"
"261260","KODEX 미국달러선물인버스2X","4385","30","0.69","4389.61","4415","4415","4370","358079","1571015191","241569650000","0","55090000","미국달러선물지수","1702.09","-11.20","-0.65"
"0144M0","KODEX 미국드론UAM TOP10","9050","420","4.87","9033.51","9040","9160","9040","58467","530861597","28507500000","0","3150000","iSelect 미국드론UAM TOP10 지수(Price Return)","4549.24","0.00","0.00"
"280930","KODEX 미국러셀2000(H)","16580","370","2.28","16594.47","16600","16655","16535","37855","627109818","25699000000","0","1550000","FTSE Russell 2000 Index","2921.03","0.00","0.00"
"0048J0","KODEX 미국머니마켓액티브","15220","-95","-0.62","15222.15","15200","15240","15180","897666","13658176960","673713300000","0","44265000","KAP 미국 머니마켓 지수","158.61","0.00","0.00"
"390390","KODEX 미국반도체","62970","2570","4.25","63287.26","63685","64040","62895","547105","34732207697","1451458500000","0","23050000","MVIS US Listed Semiconductor 25 Index","18357.87","0.00","0.00"
"489250","KODEX 미국배당다우존스","13465","45","0.34","13465.70","13445","13495","13415","232853","3132551922","562837000000","0","41800000","Dow Jones U.S. Dividend 100 Price Return Index","6863.15","0.00","0.00"
"483290","KODEX 미국배당다우존스타겟커버드콜","11000","30","0.27","11004.61","11010","11010","10945","156112","1713396503","166100000000","0","15100000","Dow Jones U.S. Dividend 100 10% Premium Covered Call Index(Total Return)","551.81","0.00","0.00"
